,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-03-23,SH600674,SH600900,SH601006,SZ002459,SH600905,SZ300498,SH600886,SH601012,SH601998,SH600027,0.009410971775650978,0.014023185,0.9,0.007610971775650978,1.007610971775651,1.0140232,1.007610971775651,0.0
1,2026-03-24,SZ001965,SH600036,SH600015,SH600900,SZ000895,SH601166,SZ002422,SH600023,SH600919,SH601328,0.003746122121810913,-0.013209939,0.5,0.002746122121810913,1.0103779945554237,1.000628,1.0103779945554237,0.0
2,2026-03-25,SZ300661,SH601916,SH600900,SH601166,SH600015,SH600036,SZ000001,SH601825,SH601939,SH600919,-0.004069524817168713,0.005592346,0.5,-0.005069524817168713,1.0052558582373037,1.0062238,1.0103779945554237,-0.0050695248171688115
3,2026-03-26,SH601916,SH600919,SZ001965,SH601166,SH601818,SH600023,SH600674,SZ003816,SH600900,SH600015,-0.006816876120865345,-0.002358675,0.5,-0.007816876120865346,0.9973978977236885,1.0038505,1.0103779945554237,-0.01284677309054672
4,2026-03-27,SH601916,SH601166,SH600900,SH600919,SH601988,SH601169,SZ002460,SH600104,SZ002422,SH601818,-0.00041069387225434184,-0.009327769,0.3,-0.0010106938722543417,0.9963898337802597,0.99448675,1.0103779945554237,-0.013844482807960292
5,2026-03-30,SH601916,SH600919,SH601166,SZ000001,SH600900,SH601169,SH601818,SH600104,SH600600,SH601838,0.0026928186416625977,0.01708293,0.4,0.0018928186416625977,0.9982758190320021,1.0114754,1.0103779945554237,-0.011977869261440713
6,2026-03-31,SH600919,SH600900,SH601169,SH601166,SH600887,SH601658,SH601816,SH601328,SZ000001,SH601838,0.0068856775760650635,-0.010419548,0.2,0.006485677576065063,1.004750314126226,1.0009363,1.0103779945554237,-0.005569876283453636
7,2026-04-01,SH600919,SH601169,SH601166,SZ000001,SH601658,SH600887,SH600036,SH601328,SH601838,SH601668,-0.009685290046036243,-0.008511066,0.2,-0.010085290046036243,0.994617115784417,0.9924172,1.0103779945554237,-0.015598992511650622
8,2026-04-02,SH601169,SH601816,SH600919,SH601166,SH600887,SH601668,SH601328,SH600018,SH601658,SH600036,-0.006715840194374323,-3.8325787e-05,0.4,-0.007515840194374323,0.9871417324875918,0.9923792,1.0103779945554237,-0.022997593171114133
9,2026-04-03,SZ000538,SH601169,SH600887,SH600919,SH600926,SH601658,SH601939,SH601166,SH601668,SH600600,0.007430231664329767,0.034891605,0.3,0.006830231664329767,0.99388413920601,1.0270048,1.0103779945554237,-0.016324440395864986
10,2026-04-07,SH600919,SH600926,SH601169,SZ000538,SH601658,SH600600,SZ000001,SH601166,SH601607,SH601838,-0.007879531010985374,-0.0063844323,0.3,-0.008479531010985374,0.9854564678262862,1.020448,1.0103779945554237,-0.024665547808276664
