,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35,top36,top37,top38,top39,top40,top41,top42,top43,top44,top45,top46,top47,top48,top49,top50,top51,top52,top53,top54,top55,top56,top57,top58,top59,top60,top61,top62,top63,top64,top65,top66,top67,top68,top69,top70,top71,top72,top73,top74,top75,top76,top77,top78,top79,top80,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-03-23,SH600674,SH600900,SH601006,SZ002459,SH600905,SZ300498,SH600886,SH601012,SH601998,SH600027,SH600023,SH601985,SH601838,SH601939,SZ001965,SZ300014,SZ003816,SH601166,SZ000983,SH601328,SH600036,SH600015,SH600104,SH600919,SH600011,SZ002074,SZ000999,SH601077,SH601919,SH601916,SH601236,SH601229,SH601988,SZ000708,SH600930,SZ000895,SZ002422,SH601825,SZ300750,SZ000617,SZ000651,SH601633,SH601818,SH600377,SH600039,SZ002594,SH600887,SH601878,SZ002460,SZ000333,SZ000538,SH601728,SH601658,SH600926,SZ002714,SH600018,SH601169,SZ002371,SH600941,SZ000166,SH601607,SZ002415,SZ001391,SH601668,SH600918,SH601398,SH600030,SH603259,SZ000001,SZ002736,SH601390,SH601901,SH600741,SZ002142,SH601766,SH600066,SH688009,SH600048,SH600050,SZ000938,0.00984386820346117,0.014023185,0.125,0.00959386820346117,1.009593868203461,1.0140232,1.009593868203461,0.0
1,2026-03-24,SZ001965,SH600036,SH600015,SH600900,SZ000895,SH601166,SZ002422,SH600023,SH600919,SH601328,SH600674,SH600886,SH601006,SZ300498,SH600377,SZ000538,SZ000651,SH601988,SH601838,SH601818,SH601939,SH601229,SH601916,SH600918,SH600018,SH601009,SH601236,SZ002459,SZ003816,SH601169,SH601825,SH601658,SH601919,SZ300750,SH600905,SH601998,SH601985,SH600941,SH601816,SH600926,SH601012,SH601901,SZ002371,SH600887,SH601077,SH601607,SZ000166,SH600011,SH600050,SH600104,SH600027,SZ001391,SH601059,SH601398,SH601633,SH688009,SH601668,SZ002415,SZ000617,SH601390,SH601728,SH600039,SZ300014,SH600061,SH601878,SH600016,SZ000001,SZ002142,SZ002252,SH601766,SH603288,SZ000999,SZ000876,SZ002311,SH600030,SZ000938,SZ000333,SH600048,SH600600,SZ002074,-0.005925939884036779,-0.013209939,0.1125,-0.00615093988403678,1.0033839170128493,1.000628,1.009593868203461,-0.006150939884036878
2,2026-03-25,SZ300661,SH601916,SH600900,SH601166,SH600015,SH600036,SZ000001,SH601825,SH601939,SH600919,SH601236,SH601838,SZ003816,SH601328,SH600018,SH601006,SZ000651,SH601169,SH601818,SH601988,SH601229,SZ002459,SH601985,SH600918,SH601012,SH601009,SH601658,SH600027,SZ002422,SH600886,SH601633,SH600674,SZ300498,SH600905,SZ000538,SH600600,SH601077,SZ001965,SH600023,SH601607,SZ000895,SH601766,SH601398,SH600377,SH600011,SH600104,SZ000166,SH601390,SH600887,SH601816,SH600926,SZ002415,SH600941,SZ001391,SH601059,SH601901,SH601668,SH600050,SZ002074,SH601878,SZ000999,SZ000333,SZ000708,SH601998,SZ300014,SZ002142,SZ000983,SH600030,SH600061,SH600016,SZ000858,SH600741,SH601788,SH601456,SH688009,SH601728,SH600161,SH603288,SZ002714,SZ002371,0.002113308757543564,0.005592346,0.1375,0.0018383087575435638,1.0052284464546724,1.0062238,1.009593868203461,-0.004323938453149341
3,2026-03-26,SH601916,SH600919,SZ001965,SH601166,SH601818,SH600023,SH600674,SZ003816,SH600900,SH600015,SH601169,SH601328,SH601988,SH601006,SH601939,SZ000983,SH601658,SZ000001,SH600018,SH601838,SH600036,SH600886,SH601825,SH600600,SH601398,SZ000895,SH601229,SH601009,SH601816,SH600104,SH601077,SH600377,SZ002074,SH601766,SH600027,SH600016,SZ300014,SZ002142,SH600918,SH600926,SZ000651,SZ300498,SH601236,SH600011,SH601998,SH688009,SH601985,SH600887,SH601633,SZ000708,SH601607,SH601919,SH600066,SZ002415,SH601012,SZ002714,SH601668,SZ002422,SZ000333,SZ002352,SH600905,SZ001391,SZ002709,SH600039,SH600196,SH600660,SZ000166,SH601390,SH603019,SH600161,SH600050,SH600061,SZ002460,SZ002459,SH603288,SH601059,SZ000858,SH600941,SZ000938,SH601618,-0.0030952244997024536,-0.002358675,0.125,-0.003345224499702454,1.0018657316277944,1.0038505,1.009593868203461,-0.007654698408003108
4,2026-03-27,SH601916,SH601166,SH600900,SH600919,SH601988,SH601169,SZ002460,SH600104,SZ002422,SH601818,SH600015,SH600674,SH600011,SH601939,SH600036,SZ001965,SZ000001,SH601328,SH601838,SH601398,SH601658,SH600886,SH601825,SH600023,SH600016,SH601006,SH601816,SH600018,SH601766,SH600600,SZ000895,SH600887,SH600027,SH600905,SH603288,SH601077,SZ000651,SH601229,SH600918,SH601985,SH601009,SZ002352,SH601668,SH600377,SH600926,SZ000708,SH601607,SH688009,SH601012,SZ002415,SZ002459,SZ002142,SZ000983,SH600039,SZ003816,SH601236,SH601633,SZ300498,SZ002371,SZ000938,SZ002074,SH600066,SH601618,SZ000166,SH601390,SH601901,SH600196,SH601136,SH601998,SZ300628,SH601456,SH603296,SH600690,SZ000617,SH601059,SH600741,SZ000858,SZ002714,SZ300014,SZ000538,-0.002577094826847315,-0.009327769,0.1375,-0.002852094826847315,0.9990083155574231,0.99448675,1.009593868203461,-0.010484961309119913
5,2026-03-30,SH601916,SH600919,SH601166,SZ000001,SH600900,SH601169,SH601818,SH600104,SH600600,SH601838,SH600036,SH601328,SH601658,SZ001965,SH601006,SH600886,SH601816,SH601825,SH601988,SH600887,SH600926,SH600018,SH600016,SH600674,SH600015,SH601229,SH601077,SH601939,SH601398,SH601009,SH601668,SZ002352,SH603288,SZ000651,SZ000895,SH601985,SH600377,SZ002142,SH600023,SH601607,SH600905,SH688009,SZ002074,SH600918,SZ300498,SH600066,SZ000858,SH601998,SZ002422,SH600660,SH601236,SZ002594,SZ000983,SH601618,SZ000708,SH601766,SZ003816,SH600941,SZ000538,SZ300014,SZ001391,SH600196,SH600039,SH601186,SZ000166,SH601901,SZ000725,SH601238,SZ002415,SH600061,SZ002371,SZ002252,SH601633,SH600741,SH600011,SH601390,SZ000938,SZ000876,SZ002714,SH603195,0.0022352307569235563,0.01708293,0.1375,0.0019602307569235563,1.0009666023840011,1.0114754,1.009593868203461,-0.008545283495839643
6,2026-03-31,SH600919,SH600900,SH601169,SH601166,SH600887,SH601658,SH601816,SH601328,SZ000001,SH601838,SH600018,SH601988,SH601668,SH601006,SH600036,SH601229,SZ000895,SH600377,SH600660,SH601939,SZ000651,SH600016,SH601916,SH601009,SH601607,SH600015,SH600104,SH601398,SH600886,SH601818,SH600023,SH600600,SH601077,SH600926,SH601825,SZ001965,SH600918,SZ000538,SH601998,SH600741,SH600674,SH600161,SZ300498,SH601186,SH601985,SZ002352,SZ000858,SZ002142,SH600039,SH603288,SZ000708,SZ000166,SH688009,SH601456,SZ002415,SH600905,SH601390,SZ001391,SH600196,SH601878,SZ002252,SH601766,SH600941,SH600061,SH600085,SH600519,SH600019,SH601633,SH601618,SZ000876,SH601236,SH601059,SH601995,SH603195,SH600999,SZ000333,SZ000725,SZ002371,SZ002074,SH600795,0.00015957429422996938,-0.010419548,0.0625,3.457429422996938e-05,1.0010012100978265,1.0009363,1.009593868203461,-0.008511004648755384
7,2026-04-01,SH600919,SH601169,SH601166,SZ000001,SH601658,SH600887,SH600036,SH601328,SH601838,SH601668,SH601009,SH601816,SH601229,SH601006,SH600015,SH600926,SH601607,SH601988,SH601939,SZ000538,SZ000895,SH600018,SH600023,SH601998,SZ000651,SH600918,SH600104,SH600900,SH601916,SZ002415,SH601077,SH601825,SH601186,SH600600,SH600016,SH603195,SZ002142,SZ000333,SH600061,SH601390,SH601456,SH601398,SZ000858,SH601766,SH600519,SZ002352,SH600019,SH600161,SH601818,SH600886,SH600999,SZ002252,SH601059,SH600941,SZ001965,SZ000166,SZ300498,SH600905,SH601985,SZ002422,SH600660,SH601238,SZ002371,SZ000876,SH601995,SH601618,SH603288,SH601878,SZ001391,SZ000725,SZ002179,SH600377,SH600741,SH688009,SH601633,SH600085,SH600436,SH603259,SZ000708,SH601236,-0.012892943806946278,-0.008511066,0.1,-0.013092943806946278,0.9878951575033305,0.9924172,1.009593868203461,-0.021492514350094825
8,2026-04-02,SH601169,SH601816,SH600919,SH601166,SH600887,SH601668,SH601328,SH600018,SH601658,SH600036,SH600926,SH600061,SH601229,SH601009,SH601838,SZ000001,SZ002415,SH600900,SZ000651,SH601006,SH603195,SH601607,SZ000538,SH600600,SH601939,SH601766,SZ002142,SH600161,SH600519,SH600999,SZ000895,SH601398,SZ002252,SH600015,SZ001965,SH600377,SH600941,SH601059,SH601995,SH601818,SH600019,SZ002352,SH601186,SH601988,SH600104,SH601916,SH601633,SH601825,SZ000333,SZ000725,SZ000858,SH601456,SH600918,SH600085,SH600016,SH601077,SH601390,SZ000708,SZ001391,SZ000166,SZ000876,SH601998,SH601878,SH600886,SH600660,SH601919,SZ002179,SH600023,SH600436,SZ000999,SH601985,SH600196,SZ000963,SZ300498,SH601618,SH600674,SH600905,SH600039,SH601728,SZ300999,-0.004593750927597284,-3.8325787e-05,0.05,-0.004693750927597285,0.9832582236914303,0.9923792,1.009593868203461,-0.02608538476852494
9,2026-04-03,SZ000538,SH601169,SH600887,SH600919,SH600926,SH601658,SH601939,SH601166,SH601668,SH600600,SZ002415,SH601816,SH601607,SZ000895,SH601059,SH600018,SH600036,SH601766,SH601328,SH601009,SH601229,SZ000651,SH600941,SH600900,SH601633,SZ000001,SH601006,SH601838,SH601456,SH600918,SH600999,SH601995,SH601916,SZ000725,SZ000333,SZ002142,SH600015,SZ000166,SH601998,SH600519,SZ001391,SH601825,SZ002352,SH600023,SZ000999,SH601077,SH600061,SH601186,SH601398,SH601818,SZ000876,SH603195,SH600085,SZ000858,SH601919,SH600436,SH600161,SH601988,SH600886,SH601878,SZ002252,SH600674,SH600039,SH600104,SH601728,SH600377,SZ002179,SH600196,SH600660,SH603288,SZ002311,SZ300498,SH688009,SH601985,SH601618,SZ000963,SH600016,SH601800,SZ001965,SH601390,0.01318927388638258,0.034891605,0.0875,0.01301427388638258,0.9960546155155886,1.0270048,1.009593868203461,-0.013410593223951663
10,2026-04-07,SH600919,SH600926,SH601169,SZ000538,SH601658,SH600600,SZ000001,SH601166,SH601607,SH601838,SH601816,SH600887,SH601009,SH601668,SH601328,SH601988,SH600036,SZ000333,SH601766,SH600018,SZ002352,SH600999,SH601825,SH601998,SH601939,SZ002142,SZ000651,SH601916,SH600061,SH601229,SH600900,SH601006,SZ000166,SH601633,SZ002252,SH600941,SH601186,SZ000895,SZ002415,SH601059,SH600085,SH600161,SH601077,SH601818,SH600918,SH601456,SH600015,SZ000858,SH601995,SH600436,SH603288,SH601398,SH603195,SH600519,SH600741,SH600660,SH601919,SH601728,SH600039,SZ000708,SH601618,SZ000876,SH600023,SH600104,SZ300498,SH600016,SZ000999,SH600674,SH601390,SH600196,SZ000963,SH603259,SH600377,SH601800,SZ300999,SZ002179,SH601236,SH601985,SH601288,SH600066,-0.008779322728514671,-0.0063844323,0.1125,-0.00900432272851467,0.9870858183022596,1.020448,1.009593868203461,-0.02229416264309708
11,2026-04-08,SH601166,SH600887,SH601998,SH601816,SH600919,SH601169,SH601607,SZ000001,SH600926,SH600600,SZ000538,SH601838,SH601668,SH600036,SZ000651,SH601988,SH600018,SH601328,SH601633,SH601658,SH601728,SH600941,SZ002352,SH601077,SZ000895,SH601006,SH600741,SH601939,SH600015,SZ000858,SH601825,SH603288,SH601229,SZ000333,SH601009,SH600900,SH601919,SH601916,SH601818,SH600660,SH600918,SH600061,SH601766,SH601059,SH601398,SZ002142,SH600085,SH600585,SH600104,SH600519,SH603259,SH601186,SH600039,SZ002415,SZ000876,SZ000166,SH600023,SH601995,SZ002252,SZ000999,SH601456,SZ002422,SH600886,SH600377,SZ000963,SH603195,SH600196,SH600999,SH600161,SZ300498,SZ000725,SH600674,SZ001965,SH600436,SH601236,SZ300782,SZ002311,SH600016,SH601298,SH688009,0.003049314022064209,0.015406609,0.075,0.002899314022064209,0.989947690056244,1.0361696,1.009593868203461,-0.019459486399394307
