,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35,top36,top37,top38,top39,top40,top41,top42,top43,top44,top45,top46,top47,top48,top49,top50,top51,top52,top53,top54,top55,top56,top57,top58,top59,top60,top61,top62,top63,top64,top65,top66,top67,top68,top69,top70,top71,top72,top73,top74,top75,top76,top77,top78,top79,top80,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-03-23,SH603993,SH600115,SH600029,SZ002493,SH600489,SH600482,SH600875,SH600547,SH600219,SH600176,SZ000630,SH600893,SH600362,SZ300251,SH601600,SH603799,SZ000301,SH600989,SH600346,SH600522,SH600010,SZ002384,SZ000338,SH600111,SH601111,SH601021,SH688396,SH601899,SH600026,SZ002601,SH600515,SZ300394,SH601100,SH601868,SH688169,SH601888,SH600025,SZ300442,SH688082,SZ000975,SH601898,SH600188,SH600760,SH601689,SZ002001,SZ302132,SH605117,SZ300316,SZ301236,SH600426,SH600674,SZ000408,SZ300347,SZ000807,SH600584,SH688111,SH600900,SH600588,SZ002028,SH601698,SH601006,SZ002459,SH600905,SZ300433,SZ300498,SZ002648,SH600886,SZ300413,SH600372,SH601012,SH601998,SH601872,SH601877,SH600027,SH600023,SH600309,SZ002463,SZ000768,SH600938,SZ300408,0.017911026254296303,0.014023185,0.3625,0.017186026254296303,1.0171860262542962,1.0140232,1.0171860262542962,0.0
1,2026-03-24,SH600115,SH600893,SZ300394,SH600029,SH600489,SH601021,SZ002493,SH600875,SZ000338,SZ002384,SH603799,SH600362,SZ000975,SZ000630,SH688008,SZ300316,SH603993,SH600346,SH600989,SH600515,SZ000301,SH601898,SH688111,SZ300418,SH600482,SH601698,SH688012,SZ300251,SH600584,SZ300433,SH688396,SH601111,SZ301269,SH603986,SH601689,SH688082,SH600026,SZ001965,SH600547,SZ002001,SZ300347,SZ002049,SH600036,SH600015,SH600900,SZ002601,SZ002625,SZ000895,SH600588,SH601058,SH601166,SZ002241,SZ002422,SH600023,SH600919,SH600150,SH601328,SH688169,SZ300413,SH600674,SZ002050,SZ000002,SZ002916,SH601888,SH601688,SH600886,SH603260,SH601006,SZ300498,SH600377,SH600938,SZ301236,SH600025,SZ000538,SZ000651,SZ002028,SH601988,SH600010,SH601838,SH601818,-0.013396108523011208,-0.013209939,0.3625,-0.014121108523011208,1.0028222319894688,1.000628,1.0171860262542962,-0.014121108523011133
2,2026-03-25,SZ002384,SH600989,SH601898,SH605117,SZ002493,SZ002001,SZ300316,SH600188,SH600029,SH603993,SH600482,SZ300661,SH601888,SH600026,SH688111,SH601916,SZ300418,SH600025,SZ002601,SH600900,SH601166,SZ000301,SH600115,SH601021,SH688082,SH600015,SH600036,SZ000001,SH601825,SZ300394,SH601939,SH600919,SH601236,SH601838,SZ003816,SH601328,SH601872,SH600018,SH601006,SH601100,SZ000651,SH601169,SH601698,SZ300413,SH601868,SH601818,SH601988,SH601229,SZ300750,SZ002459,SH600183,SH600362,SH600000,SH601985,SZ301269,SH600918,SZ300251,SH601012,SH600893,SZ000338,SH601009,SH603260,SH688396,SH600938,SZ002916,SZ300803,SH601658,SH600027,SZ002422,SH600515,SH600489,SH600886,SH601633,SH688126,SH601088,SZ002049,SZ300347,SH600674,SZ300498,SH600588,0.003128383308649063,0.005592346,0.3125,0.002503383308649063,1.0053326804265734,1.0062238,1.0171860262542962,-0.011653075761738258
3,2026-03-26,SZ002384,SH605117,SH601898,SH600989,SZ300394,SH600893,SH600547,SH600115,SZ300316,SZ002001,SH601872,SH600875,SH600489,SZ000975,SH601916,SH600919,SZ001965,SH601166,SH601818,SH600025,SH600023,SH600674,SZ003816,SH601888,SH600900,SH600015,SH601169,SH601021,SH601328,SZ000630,SH600584,SH601988,SH601006,SH601939,SZ300418,SZ000983,SH601658,SZ000001,SH600018,SZ300750,SH601838,SH600036,SZ002601,SH603993,SH600886,SH688111,SH601825,SH688082,SZ300442,SH600600,SH600938,SH601877,SH601398,SZ000895,SH600362,SZ002049,SH601229,SH601088,SH601009,SZ002028,SH601816,SH600188,SZ301269,SH600000,SH600029,SH601689,SH600104,SH601077,SH688396,SH601868,SH600377,SZ300413,SH688008,SH601018,SH600482,SH688126,SH688169,SH688012,SZ300408,SZ002074,0.00044912099838256836,-0.002358675,0.3375,-0.00022587900161743168,1.0051055968844254,1.0038505,1.0171860262542962,-0.011876322578236792
4,2026-03-27,SZ002384,SH601916,SH601166,SH600900,SH600115,SH600919,SH601988,SH605117,SH600025,SH601169,SZ002460,SH601868,SH600104,SZ002422,SH601818,SH600989,SH688082,SH600015,SH600674,SZ002493,SH600011,SH601898,SH601939,SH603993,SH600036,SZ001965,SZ000001,SH601328,SH601111,SH600029,SH601838,SH601398,SH601658,SH600362,SH600886,SZ000338,SH600183,SH600233,SH601825,SZ300433,SH600023,SH600016,SZ300316,SH601018,SH601006,SZ002001,SH600000,SH601816,SH600018,SH601021,SH601766,SH600600,SZ000895,SZ002466,SH601872,SZ300442,SZ002049,SH600887,SH601877,SH601628,SH601888,SH600219,SZ000630,SH600346,SH600027,SH688506,SH600905,SH603288,SH601077,SH603799,SZ000651,SH601100,SH600893,SH601229,SZ002625,SH600918,SH601985,SH600795,SZ300418,SH601009,-0.008984344080090523,-0.009327769,0.3,-0.009584344080090523,0.9954723190070602,0.99448675,1.0171860262542962,-0.021346839896331373
5,2026-03-30,SH603993,SZ002493,SH600362,SH605117,SH601868,SZ002384,SH600115,SH601916,SH600026,SZ301236,SH600029,SH600025,SH600919,SH601166,SH601111,SZ000001,SH600989,SZ000630,SH600900,SH601169,SH601818,SH600104,SH600600,SH601838,SH601018,SH600036,SH601328,SH601898,SZ300316,SH601658,SZ001965,SH603799,SH601006,SH600886,SH603893,SH601816,SH600160,SH600188,SH601825,SH601988,SZ000157,SZ301269,SH600887,SH600926,SH600875,SH600018,SH601058,SH600111,SH600016,SZ300418,SH601872,SZ002050,SH600674,SH600015,SH601229,SH688396,SH601077,SH600845,SH601021,SH601939,SH601888,SH688111,SH688082,SH600515,SZ300251,SH601398,SH600031,SH601009,SH688256,SH601668,SH688169,SZ002352,SH603288,SZ002049,SH601877,SZ000651,SH603260,SZ002916,SH600893,SZ002001,0.01649574190378189,0.01708293,0.2625,0.01597074190378189,1.0113707504862812,1.0114754,1.0171860262542962,-0.005717022862995147
6,2026-03-31,SH603993,SZ002493,SH600115,SH603799,SZ000630,SH600919,SH600362,SZ000301,SH600900,SH601169,SH600029,SH601018,SH601166,SH601111,SH600887,SH601658,SH601816,SZ002601,SH601328,SZ000001,SH601838,SZ301269,SH601899,SH600489,SH600018,SH601988,SH600588,SH601668,SH601868,SH601006,SH600036,SH601229,SZ000895,SH600989,SH600377,SH600025,SH688082,SH600660,SH601021,SH601939,SZ000651,SH600016,SH600026,SH600219,SH605117,SH601916,SH601872,SH600346,SH601009,SH601607,SH600015,SZ002384,SZ301236,SH600104,SH600893,SH601398,SZ002625,SH601689,SZ002050,SH600886,SH601818,SH600023,SH603260,SH688111,SH601888,SH600600,SH601077,SH601600,SH600926,SH601825,SH600515,SZ001965,SZ300413,SH600918,SH600547,SH600111,SH600010,SZ000768,SZ002241,SH688169,-0.005008427891880274,-0.010419548,0.325,-0.005658427891880274,1.0056479820226978,1.0009363,1.0171860262542962,-0.011343101393248912
7,2026-04-01,SH600115,SH603993,SZ002601,SH600029,SH600919,SZ300274,SH601169,SZ002493,SH601166,SZ000001,SH603799,SH601658,SH603501,SH600362,SH601868,SH601600,SH600887,SH600036,SH601328,SH600893,SZ003816,SH601838,SH601668,SZ000630,SH600588,SH601009,SH601816,SH605117,SH601018,SZ002625,SH601229,SH600219,SH688126,SH601006,SH600015,SH600372,SH688506,SH603260,SH600926,SZ000301,SH601607,SH601988,SZ002049,SH601939,SZ000538,SZ000895,SH600585,SH600018,SH600023,SH688008,SH601998,SZ300251,SZ000651,SH601888,SH601698,SH600918,SH600104,SH600900,SZ301269,SH600760,SH600570,SH600000,SH600010,SH601916,SZ002415,SZ300759,SH601077,SH601825,SH601186,SH600600,SH603392,SH600016,SZ301236,SH603195,SZ002142,SZ000333,SH600061,SH688169,SZ002600,SZ302132,-0.013317078351974487,-0.008511066,0.325,-0.013967078351974487,0.9916020178632817,0.9924172,1.0171860262542962,-0.02515174975930951
8,2026-04-02,SZ000630,SH601169,SZ002601,SH603799,SH600489,SH600362,SH688082,SH601018,SH601816,SH603993,SH600919,SH600570,SH601166,SH600372,SH600887,SZ002050,SZ002493,SH601668,SH601328,SH600018,SZ002049,SH600547,SH601868,SH600115,SH601658,SH600036,SH600926,SZ300896,SZ301269,SH603893,SH600000,SZ002241,SH600061,SH601229,SH600183,SH601009,SH601838,SZ300433,SZ000001,SH603260,SZ002236,SH600150,SH688111,SZ002415,SH688396,SH600900,SZ000651,SH601006,SH600009,SZ002625,SZ002027,SH603195,SH601607,SZ000538,SH600600,SH601939,SH600515,SH601698,SH600585,SZ300413,SZ300251,SH601766,SZ003816,SZ002142,SH600161,SZ301236,SZ000768,SH688126,SZ300979,SH603501,SZ000002,SZ000301,SH600760,SH600519,SH600999,SZ300274,SH688187,SH688008,SZ002230,SH688169,0.0017345495289191604,-3.8325787e-05,0.25,0.0012345495289191604,0.9928261996673102,0.9923792,1.0171860262542962,-0.0239482513112071
