,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35,top36,top37,top38,top39,top40,top41,top42,top43,top44,top45,top46,top47,top48,top49,top50,top51,top52,top53,top54,top55,top56,top57,top58,top59,top60,top61,top62,top63,top64,top65,top66,top67,top68,top69,top70,top71,top72,top73,top74,top75,top76,top77,top78,top79,top80,top81,top82,top83,top84,top85,top86,top87,top88,top89,top90,top91,top92,top93,top94,top95,top96,top97,top98,top99,top100,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-03-23,SH600674,SH600900,SH601006,SZ002459,SH600905,SZ300498,SH600886,SH601012,SH601998,SH600027,SH600023,SH601985,SH601838,SH601939,SZ001965,SZ300014,SZ003816,SH601166,SZ000983,SH601328,SH600036,SH600015,SH600104,SH600919,SH600011,SZ002074,SZ000999,SH601077,SH601919,SH601916,SH601236,SH601229,SH601988,SZ000708,SH600930,SZ000895,SZ002422,SH601825,SZ300750,SZ000617,SZ000651,SH601633,SH601818,SH600377,SH600039,SZ002594,SH600887,SH601878,SZ002460,SZ000333,SZ000538,SH601728,SH601658,SH600926,SZ002714,SH600018,SH601169,SZ002371,SH600941,SZ000166,SH601607,SZ002415,SZ001391,SH601668,SH600918,SH601398,SH600030,SH603259,SZ000001,SZ002736,SH601390,SH601901,SH600741,SZ002142,SH601766,SH600066,SH688009,SH600048,SH600050,SZ000938,SH601816,SZ000858,SH600519,SH603296,SZ300628,SZ000876,SH600660,SH603288,SZ000625,SH600600,SH601456,SH601136,SH601788,SH600161,SH600436,SH601618,SZ002252,SH601238,SH600690,SH600999,0.009813561104238033,0.014023185,0.1,0.009613561104238033,1.009613561104238,1.0140232,1.009613561104238,0.0
1,2026-03-24,SZ001965,SH600036,SH600015,SH600900,SZ000895,SH601166,SZ002422,SH600023,SH600919,SH601328,SH600674,SH600886,SH601006,SZ300498,SH600377,SZ000538,SZ000651,SH601988,SH601838,SH601818,SH601939,SH601229,SH601916,SH600918,SH600018,SH601009,SH601236,SZ002459,SZ003816,SH601169,SH601825,SH601658,SH601919,SZ300750,SH600905,SH601998,SH601985,SH600941,SH601816,SH600926,SH601012,SH601901,SZ002371,SH600887,SH601077,SH601607,SZ000166,SH600011,SH600050,SH600104,SH600027,SZ001391,SH601059,SH601398,SH601633,SH688009,SH601668,SZ002415,SZ000617,SH601390,SH601728,SH600039,SZ300014,SH600061,SH601878,SH600016,SZ000001,SZ002142,SZ002252,SH601766,SH603288,SZ000999,SZ000876,SZ002311,SH600030,SZ000938,SZ000333,SH600048,SH600600,SZ002074,SH600519,SZ000858,SH601456,SH601788,SH601136,SZ002352,SH600161,SH601995,SZ000625,SH600999,SH603019,SH600196,SH601238,SH603195,SH600066,SH600660,SZ002736,SH603296,SZ300628,SH600741,-0.007308452855795622,-0.013209939,0.09,-0.0074884528557956215,1.002053117549337,1.000628,1.009613561104238,-0.007488452855795644
2,2026-03-25,SZ300661,SH601916,SH600900,SH601166,SH600015,SH600036,SZ000001,SH601825,SH601939,SH600919,SH601236,SH601838,SZ003816,SH601328,SH600018,SH601006,SZ000651,SH601169,SH601818,SH601988,SH601229,SZ002459,SH601985,SH600918,SH601012,SH601009,SH601658,SH600027,SZ002422,SH600886,SH601633,SH600674,SZ300498,SH600905,SZ000538,SH600600,SH601077,SZ001965,SH600023,SH601607,SZ000895,SH601766,SH601398,SH600377,SH600011,SH600104,SZ000166,SH601390,SH600887,SH601816,SH600926,SZ002415,SH600941,SZ001391,SH601059,SH601901,SH601668,SH600050,SZ002074,SH601878,SZ000999,SZ000333,SZ000708,SH601998,SZ300014,SZ002142,SZ000983,SH600030,SH600061,SH600016,SZ000858,SH600741,SH601788,SH601456,SH688009,SH601728,SH600161,SH603288,SZ002714,SZ002371,SH601186,SZ000938,SH603195,SH600066,SZ002252,SH601995,SH600999,SH600660,SZ000100,SH603296,SH601136,SH601618,SZ000876,SH600519,SH600436,SH601919,SH600690,SH600048,SZ002352,SH601238,0.0018635183805599809,0.005592346,0.09,0.0016835183805599808,1.0037400923910287,1.0062238,1.009613561104238,-0.005817541423260423
3,2026-03-26,SH601916,SH600919,SZ001965,SH601166,SH601818,SH600023,SH600674,SZ003816,SH600900,SH600015,SH601169,SH601328,SH601988,SH601006,SH601939,SZ000983,SH601658,SZ000001,SH600018,SH601838,SH600036,SH600886,SH601825,SH600600,SH601398,SZ000895,SH601229,SH601009,SH601816,SH600104,SH601077,SH600377,SZ002074,SH601766,SH600027,SH600016,SZ300014,SZ002142,SH600918,SH600926,SZ000651,SZ300498,SH601236,SH600011,SH601998,SH688009,SH601985,SH600887,SH601633,SZ000708,SH601607,SH601919,SH600066,SZ002415,SH601012,SZ002714,SH601668,SZ002422,SZ000333,SZ002352,SH600905,SZ001391,SZ002709,SH600039,SH600196,SH600660,SZ000166,SH601390,SH603019,SH600161,SH600050,SH600061,SZ002460,SZ002459,SH603288,SH601059,SZ000858,SH600941,SZ000938,SH601618,SZ000725,SH601878,SH600741,SH601901,SH600999,SH601456,SZ002252,SZ000999,SH603259,SH601136,SZ000538,SH601788,SH600085,SZ002371,SZ000876,SH603195,SZ002179,SH603296,SH601238,SH600519,-0.0024281346704810858,-0.002358675,0.08,-0.0025881346704810858,1.0011422778577594,1.0038505,1.009613561104238,-0.008390619513087135
