,datetime,instrument,score,exp_name,rid,weight,real_label,error,abs_error
4788,2026-03-26,SH600015,0.11216997409677508,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260326_14,5486fed40a1d44beb756936f1644a3a4,0.046,,,
4789,2026-03-26,SH600011,0.010534541125181776,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260326_14,5486fed40a1d44beb756936f1644a3a4,0.046,,,
4790,2026-03-26,SH600010,0.025754764417980015,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260326_14,5486fed40a1d44beb756936f1644a3a4,0.046,,,
4791,2026-03-26,SH600009,0.005204978568410298,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260326_14,5486fed40a1d44beb756936f1644a3a4,0.046,,,
4792,2026-03-26,SH600000,0.05132539726818497,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260326_14,5486fed40a1d44beb756936f1644a3a4,0.046,,,
4793,2026-03-26,SZ302132,-0.04941037797809871,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260326_14,ca61f04f6d7841b486c9867e3d98faa8,0.047,,,
4794,2026-03-26,SZ301269,0.1206627716827106,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260326_14,ca61f04f6d7841b486c9867e3d98faa8,0.047,,,
4795,2026-03-26,SZ301236,-0.04106353512899794,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260326_14,ca61f04f6d7841b486c9867e3d98faa8,0.047,,,
4796,2026-03-26,SZ300999,-0.03774169590447048,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260326_14,ca61f04f6d7841b486c9867e3d98faa8,0.047,,,
4797,2026-03-26,SZ300979,0.011785165258402288,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260326_14,ca61f04f6d7841b486c9867e3d98faa8,0.047,,,
4798,2026-03-26,SH600026,-0.19557414770856418,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260326_14,5486fed40a1d44beb756936f1644a3a4,0.046,,,
4799,2026-03-26,SH600027,0.08879603854276723,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260326_14,5486fed40a1d44beb756936f1644a3a4,0.046,,,
4800,2026-03-26,SH600028,-0.02725561647733149,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260326_14,5486fed40a1d44beb756936f1644a3a4,0.046,,,
4801,2026-03-26,SH600029,-0.00037948280741617694,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260326_14,5486fed40a1d44beb756936f1644a3a4,0.046,,,
4802,2026-03-26,SH600161,0.041982510931762286,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260326_14,5486fed40a1d44beb756936f1644a3a4,0.046,,,
4803,2026-03-26,SH600160,0.014168687979780088,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260326_14,5486fed40a1d44beb756936f1644a3a4,0.046,,,
4804,2026-03-26,SH600150,-0.07253650146624001,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260326_14,5486fed40a1d44beb756936f1644a3a4,0.046,,,
4805,2026-03-26,SH600115,0.004998368322428119,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260326_14,5486fed40a1d44beb756936f1644a3a4,0.046,,,
4806,2026-03-26,SH600111,-0.012260205100927929,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260326_14,5486fed40a1d44beb756936f1644a3a4,0.046,,,
4807,2026-03-26,SH600104,0.12145521969504067,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260326_14,5486fed40a1d44beb756936f1644a3a4,0.046,,,
