,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,0,SZ002384,0.1052013678758138,0.631578947368421,-0.015830398,0.1210317654817098,0.1210317654817098,,,2026-03-25,1.2390615,1.2348768
1,1,SH600989,0.0902267630220493,0.631578947368421,0.010100961,0.08012580229054295,0.08012580229054295,SH600989,宝丰能源,2026-03-25,0.16629396,0.17021161
2,2,SH601898,0.0900516947363356,0.631578947368421,-0.0011481643,0.09119985900864395,0.09119985900864395,SH601898,中煤能源,2026-03-25,0.077675894,0.07862573
3,3,SH605117,0.0887828191208037,0.5789473684210527,-0.010819256,0.09960207542649828,0.09960207542649828,SH605117,德业股份,2026-03-25,1.7630568,1.7833396
4,4,SZ002493,0.0879799679616681,0.8421052631578947,0.021997571,0.06598239697015199,0.06598239697015199,,,2026-03-25,0.7227109,0.7502348
5,5,SZ002001,0.0790489139431202,0.7894736842105263,0.014128089,0.06492082499200937,0.06492082499200937,,,2026-03-25,118.75186,123.85519
6,6,SZ300316,0.0785624817683747,0.4210526315789473,0.008799911,0.06976257122302558,0.06976257122302558,,,2026-03-25,3.301193,3.3853517
7,7,SH600188,0.0665998174837142,0.4210526315789473,-0.0063415766,0.07294139405994711,0.07294139405994711,SH600188,兖矿能源,2026-03-25,35.51559,35.82668
8,8,SH600029,0.0655750560667346,0.8421052631578947,0.012383938,0.05319111823104124,0.05319111823104124,SH600029,南方航空,2026-03-25,1.0961547,1.1252329
9,9,SH603993,0.0647120977159169,0.7368421052631579,0.005121827,0.05959027059036759,0.05959027059036759,SH603993,洛阳钼业,2026-03-25,2.5593748,2.6016874
10,10,SH600482,0.0640139034897589,0.4210526315789473,0.012790203,0.051223700395276475,0.051223700395276475,SH600482,中国动力,2026-03-25,6.775855,7.0121746
11,11,SZ300661,0.0639285905141226,0.4736842105263157,-0.011656046,0.07558463642781889,0.07558463642781889,,,2026-03-25,3.7678125,3.7944057
12,12,SH601888,0.0637369682997784,0.8421052631578947,0.013545632,0.05019133593741268,0.05019133593741268,SH601888,中国中免,2026-03-25,1.3024803,1.3237629
13,13,SH600026,0.0616839187757286,0.4210526315789473,-0.008839726,0.07052364522378768,0.07052364522378768,SH600026,中远海能,2026-03-25,4.345836,4.4162774
14,14,SH688111,0.0610398147440368,0.6842105263157895,0.0029146671,0.0581251476145202,0.0581251476145202,SH688111,金山办公,2026-03-25,0.01548791,0.01565434
15,15,SH601916,0.0602429099069633,0.9473684210526316,-0.0023310184,0.06257392835483927,0.06257392835483927,SH601916,浙商银行,2026-03-25,0.24034777,0.24155618
16,16,SZ300418,0.0585638374472779,0.5789473684210527,0.009696007,0.04886783067237556,0.04886783067237556,,,2026-03-25,0.9724301,0.99742603
17,17,SH600025,0.0571182343988336,0.8947368421052632,-0.011067212,0.0681854460267938,0.0681854460267938,SH600025,华能水电,2026-03-25,1.6006685,1.5995156
18,18,SZ002601,0.0561082008408867,0.7894736842105263,0.025608182,0.03050001888745652,0.03050001888745652,,,2026-03-25,0.22663727,0.23310293
