,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,0,SH600115,0.1243958453497284,1.0,-0.01815182,0.14254766505569155,0.14254766505569155,SH600115,中国东航,2026-04-01,0.52785915,0.5268173
1,1,SH603993,0.1052110170329035,1.0,-0.010729611,0.1159406279528559,0.1159406279528559,SH603993,洛阳钼业,2026-04-01,2.5915332,2.6046968
2,2,SZ002601,0.0736115549547299,0.9333333333333332,0.00233531,0.0712762449724301,0.0712762449724301,,,2026-04-01,0.2250659,0.22835846
3,3,SH600029,0.0727481075246382,0.9333333333333332,-0.012282431,0.08503053865027907,0.08503053865027907,SH600029,南方航空,2026-04-01,1.1046222,1.1063509
4,4,SH600919,0.0721329652602129,0.8,-0.0065933466,0.07872631185597706,0.07872631185597706,SH600919,江苏银行,2026-04-01,0.37336913,0.37393528
5,5,SZ300274,0.0705517720742618,0.6666666666666666,-0.030879736,0.10143150802091708,0.10143150802091708,,,2026-04-01,10.186143,10.230261
6,6,SH601169,0.0662359905785738,0.8,-0.011070192,0.07730618243877277,0.07730618243877277,SH601169,北京银行,2026-04-01,0.2595911,0.25997844
7,7,SZ002493,0.0656880000624764,0.8,-0.028738081,0.09442608151770711,0.09442608151770711,,,2026-04-01,0.74351853,0.746567
8,8,SH601166,0.0656182125278657,0.8666666666666667,-0.011166573,0.07678478509866649,0.07678478509866649,SH601166,兴业银行,2026-04-01,1.3049206,1.306155
9,9,SZ000001,0.0646049188742698,0.8,-0.013311684,0.07791660300589212,0.07791660300589212,,,2026-04-01,1.300326,1.3014745
10,10,SH603799,0.0643218836806775,0.8666666666666667,-0.026437938,0.09075982189402589,0.09075982189402589,SH603799,华友钴业,2026-04-01,8.1823,8.253252
11,11,SH601658,0.0621580588556316,0.8,-0.011347532,0.07350559112797048,0.07350559112797048,SH601658,邮储银行,2026-04-01,0.30487567,0.30502096
12,12,SH603501,0.0621031899783672,0.8666666666666667,-0.01312542,0.07522860959506641,0.07522860959506641,SH603501,豪威集团,2026-04-01,1.6925004,1.7079158
13,13,SH600362,0.0617515716431203,0.8666666666666667,-0.018602788,0.08035436009145404,0.08035436009145404,SH600362,江西铜业,2026-04-01,6.791812,6.837379
14,14,SH601868,0.0614374699975065,0.7333333333333333,-0.00999999,0.07143746046076334,0.07143746046076334,SH601868,中国能建,2026-04-01,0.4175729,0.4180172
15,15,SH601600,0.0613760362210627,0.7333333333333333,-0.040062845,0.10143888097432807,0.10143888097432807,SH601600,中国铝业,2026-04-01,0.04049497,0.04037117
16,16,SH600887,0.0611902440186575,0.8,-0.0045387745,0.06572901850901394,0.06572901850901394,SH600887,伊利股份,2026-04-01,75.66888,75.669106
17,17,SH600036,0.0595769140911049,0.8666666666666667,-0.009078264,0.0686551783275551,0.0686551783275551,SH600036,招商银行,2026-04-01,14.705177,14.726659
18,18,SH601328,0.0593777248071201,1.0,-0.014522791,0.07390051571593358,0.07390051571593358,SH601328,交通银行,2026-04-01,0.28639948,0.28656003
19,19,SH600893,0.0592724392601994,0.8,-0.016231418,0.07550385691614422,0.07550385691614422,SH600893,航发动力,2026-04-01,6.4303145,6.521147
20,20,SZ003816,0.0592548915889861,0.8,-0.0056497455,0.06490463705331105,0.06490463705331105,,,2026-04-01,0.4808269,0.48597592
21,21,SH601838,0.0574542567763071,0.9333333333333332,-0.009361088,0.06681534505221652,0.06681534505221652,SH601838,成都银行,2026-04-01,0.34371898,0.34363353
22,22,SH601668,0.0571070254738473,0.8,-0.0058626533,0.06296967872930995,0.06296967872930995,SH601668,中国建筑,2026-04-01,0.66468257,0.66481847
23,23,SZ000630,0.0565091318124392,0.7333333333333333,-0.013723373,0.07023250522552514,0.07023250522552514,,,2026-04-01,21.735216,21.884287
24,24,SH600588,0.0555991577453038,0.7333333333333333,-0.022980273,0.07857943051523178,0.07857943051523178,SH600588,用友网络,2026-04-01,4.3586593,4.3846116
25,25,SH601009,0.055152478032107,0.8,-0.012482822,0.06763529997348273,0.06763529997348273,SH601009,南京银行,2026-04-01,1.5845996,1.5857384
26,26,SH601816,0.0545255496293946,0.9333333333333332,-0.012681186,0.06720673582858283,0.06720673582858283,SH601816,京沪高铁,2026-04-01,0.13010079,0.13010766
27,27,SH605117,0.0541024860606963,0.6666666666666666,-0.008941293,0.06304377882345265,0.06304377882345265,SH605117,德业股份,2026-04-01,1.652254,1.679126
28,28,SH601018,0.0540168631075114,0.8,-0.021015763,0.07503262639028728,0.07503262639028728,SH601018,宁波港,2026-04-01,0.62701166,0.62988997
29,29,SZ002625,0.0538068372162949,0.8666666666666667,-0.003452897,0.05725973428813328,0.05725973428813328,,,2026-04-01,4.648019,4.694637
30,30,SH601229,0.0529885248019504,0.8666666666666667,-0.010179579,0.06316810405991549,0.06316810405991549,SH601229,上海银行,2026-04-01,0.21430197,0.21447055
31,31,SH600219,0.0526045504227335,0.6,-0.03892666,0.09153121143729039,0.09153121143729039,SH600219,南山铝业,2026-04-01,3.2162497,3.2104325
32,32,SH688126,0.0519906109147891,0.8,-0.017119288,0.06910989935930814,0.06910989935930814,SH688126,沪硅产业,2026-04-01,0.14265618,0.14427191
33,33,SH601006,0.0512198331628407,0.9333333333333332,-0.024130583,0.07535041597228895,0.07535041597228895,SH601006,大秦铁路,2026-04-01,1.2224092,1.2253547
34,34,SH600015,0.0504280703350127,0.9333333333333332,-0.0118585825,0.06228665283165576,0.06228665283165576,SH600015,华夏银行,2026-04-01,5.617817,5.6121054
35,35,SH600372,0.0504065932142921,0.6666666666666666,-0.0153541565,0.06576074970843272,0.06576074970843272,SH600372,中航机载,2026-04-01,0.6584258,0.6621811
36,36,SH688506,0.0501166728543765,0.5333333333333333,-0.019575357,0.06969203029151029,0.06969203029151029,SH688506,百利天恒,2026-04-01,0.31132126,0.31851557
37,37,SH603260,0.0499067149213477,0.8,-0.015792072,0.06569878674065312,0.06569878674065312,SH603260,合盛硅业,2026-04-01,0.11768327,0.11817173
38,38,SH600926,0.0495538231865191,0.8,0.0024887323,0.04706509084856744,0.04706509084856744,SH600926,杭州银行,2026-04-01,0.2702234,0.27253157
39,39,SZ000301,0.0491436407287888,0.8,0.009139419,0.040004222126799056,0.040004222126799056,,,2026-04-01,0.35903004,0.3701468
40,40,SH601607,0.0490224004539035,0.6666666666666666,-0.0011430979,0.05016549833140594,0.05016549833140594,SH601607,上海医药,2026-04-01,1.123738,1.1263565
41,41,SH601988,0.0484175795919506,0.8666666666666667,-0.020195425,0.06861300414868278,0.06861300414868278,SH601988,中国银行,2026-04-01,2.7615435,2.7708788
42,42,SZ002049,0.0475488732547422,0.5333333333333333,-0.014871657,0.062420530149426036,0.062420530149426036,,,2026-04-01,53.132427,53.51936
43,43,SH601939,0.0467186111864678,0.8,-0.018828511,0.06554712242456595,0.06554712242456595,SH601939,建设银行,2026-04-01,0.8175504,0.81492496
44,44,SZ000538,0.0461538432514553,0.8,-0.005634904,0.05178874715923118,0.05178874715923118,,,2026-04-01,75.67164,76.23152
45,45,SZ000895,0.0456949738354829,0.8,-0.025826931,0.07152190483523876,0.07152190483523876,,,2026-04-01,66.36656,66.459496
46,46,SH600585,0.0453134955959198,0.6666666666666666,-0.011636138,0.05694963355826111,0.05694963355826111,SH600585,海螺水泥,2026-04-01,20.721943,20.76714
47,47,SH600018,0.0447885410858287,0.8,-0.011641383,0.05642992425691024,0.05642992425691024,SH600018,上港集团,2026-04-01,1.0112166,1.0115638
48,48,SH600023,0.0445256222365435,0.7333333333333333,-0.01814884,0.06267446171026786,0.06267446171026786,SH600023,浙能电力,2026-04-01,0.27950248,0.28000975
49,49,SH688008,0.0445077267906307,0.7333333333333333,-0.013538897,0.0580466238281368,0.0580466238281368,SH688008,澜起科技,2026-04-01,0.024411328,0.024796719
50,50,SH601998,0.0441199595566328,0.9333333333333332,-0.0110529065,0.055172866069846914,0.055172866069846914,SH601998,中信银行,2026-04-01,0.27308974,0.27325004
51,51,SZ300251,0.0437918633397876,0.6666666666666666,-0.030825496,0.07461735905969727,0.07461735905969727,,,2026-04-01,2.006215,2.019685
52,52,SZ000651,0.0431627345201828,0.8666666666666667,-0.010039687,0.05320242167686005,0.05320242167686005,,,2026-04-01,470.7416,471.4878
53,53,SH601888,0.0431352511830665,0.8666666666666667,-0.015466154,0.05860140480474008,0.05860140480474008,SH601888,中国中免,2026-04-01,1.2897625,1.295744
54,54,SH601698,0.0430957448728974,0.7333333333333333,-0.012089193,0.05518493774017645,0.05518493774017645,SH601698,中国卫通,2026-04-01,2.1204188,2.1633937
55,55,SH600918,0.0427517913683772,0.8,-0.00967741,0.05242920149410962,0.05242920149410962,SH600918,中泰证券,2026-04-01,0.16090643,0.16154802
56,56,SH600104,0.042651924278328,0.8,-0.016100585,0.05875250973899084,0.05875250973899084,SH600104,上汽集团,2026-04-01,8.85468,8.866553
57,57,SH600900,0.0415535666913557,0.8,-0.011522353,0.05307591938682079,0.05307591938682079,SH600900,长江电力,2026-04-01,10.166775,10.162084
58,58,SZ301269,0.0408302257771229,0.8666666666666667,0.014236689,0.026593537163231297,0.026593537163231297,,,2026-04-01,0.014544239,0.014940462
59,59,SH600760,0.0405517929783878,0.6,-0.00082576275,0.04137755572710606,0.04137755572710606,SH600760,中航沈飞,2026-04-01,5.58212,5.6075726
60,60,SH600570,0.0403800003821173,0.6,-0.0063058734,0.046685873776129753,0.046685873776129753,SH600570,恒生电子,2026-04-01,130.24425,131.88858
61,61,SH600000,0.0392654990886798,1.0,-0.012698412,0.05196391103020812,0.05196391103020812,SH600000,浦发银行,2026-04-01,4.31741,4.3172746
62,62,SH600010,0.0391257322619351,0.6,0.014993072,0.024132660705843793,0.024132660705843793,SH600010,包钢股份,2026-04-01,4.51418,4.7356086
63,63,SH601916,0.0388741230845712,0.7333333333333333,-0.0024331212,0.04130724428894742,0.04130724428894742,SH601916,浙商银行,2026-04-01,0.23025782,0.2314663
64,64,SZ002415,0.0386682745976905,0.8,-0.004267633,0.04293590755896369,0.04293590755896369,,,2026-04-01,2.5690799,2.5902524
65,65,SZ300759,0.0384396555710237,0.4,-0.018064618,0.056504273681680435,0.056504273681680435,,,2026-04-01,1.3688688,1.367242
66,66,SH601077,0.0366646667828242,0.8666666666666667,-0.01821673,0.054881395946947735,0.054881395946947735,SH601077,渝农商行,2026-04-01,0.17355067,0.17376241
67,67,SH601825,0.0364668842780675,1.0,-0.011409998,0.047876882218130974,0.047876882218130974,SH601825,沪农商行,2026-04-01,0.1421608,0.14229564
68,68,SH601186,0.0354276144421757,0.7333333333333333,-0.00875479,0.04418240427142985,0.04418240427142985,SH601186,中国铁建,2026-04-01,0.11190448,0.11203191
69,69,SH600600,0.035419122410676,0.8,-0.013774633,0.04919375581826877,0.04919375581826877,SH600600,青岛啤酒,2026-04-01,2.7716897,2.7962518
70,70,SH603392,0.035345850402227,1.0,-0.031353116,0.06669896643768843,0.06669896643768843,SH603392,万泰生物,2026-04-01,2.0960035,2.0982049
71,71,SH600016,0.0353440439758572,0.8,-0.007971585,0.04331562877276272,0.04331562877276272,SH600016,民生银行,2026-04-01,14.701154,14.701365
72,72,SZ301236,0.0350955684206295,0.8666666666666667,-0.009675503,0.044771071197729106,0.044771071197729106,,,2026-04-01,0.052946504,0.05365641
73,73,SH603195,0.0348236502545433,0.8,-0.013425648,0.04824929846697616,0.04824929846697616,SH603195,公牛集团,2026-04-01,0.06666296,0.0668476
74,74,SZ002142,0.0345837050404331,0.7333333333333333,-0.013182402,0.04776610669753759,0.04776610669753759,,,2026-04-01,0.37820715,0.37879276
75,75,SZ000333,0.0343098822622578,0.7333333333333333,-0.013199151,0.047509032824544176,0.047509032824544176,,,2026-04-01,1.3795236,1.3791229
76,76,SH600061,0.0341890846286662,0.6,-0.033042252,0.06723133669241742,0.06723133669241742,SH600061,国投资本,2026-04-01,5.3277125,5.328278
77,77,SH688169,0.0337482253125051,0.6666666666666666,-0.032840908,0.06658913288620505,0.06658913288620505,SH688169,石头科技,2026-04-01,0.007561809,0.0075926236
78,78,SZ002600,0.0337352103841346,0.6666666666666666,-0.012683511,0.04641872116446907,0.04641872116446907,,,2026-04-01,0.6102917,0.6157395
79,79,SZ302132,0.0336772746797199,0.6,-0.010235667,0.04391294190841863,0.04391294190841863,,,2026-04-01,0.5214013,0.5235017
80,80,SZ000768,0.0336301291016978,0.7333333333333333,-0.0143408775,0.04797100663465678,0.04797100663465678,,,2026-04-01,3.2705643,3.2881517
