,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,0,SH600919,0.0799229321073624,1.0,0.0027731657,0.07714976640454257,0.07714976640454257,SH600919,江苏银行,2026-04-09,0.36982578,0.37119082
1,1,SH601998,0.0739526055177295,1.0,-0.0023724437,0.07632504919372438,0.07632504919372438,SH601998,中信银行,2026-04-09,0.26782495,0.26753286
2,2,SH600926,0.0632931505256521,0.8181818181818182,0.0017769337,0.06151621685560815,0.06151621685560815,SH600926,杭州银行,2026-04-09,0.2752754,0.2760932
3,3,SZ000001,0.058624404112889,0.9090909090909092,-0.0018090606,0.06043346468646688,0.06043346468646688,,,2026-04-09,1.2795651,1.2795506
4,4,SH601166,0.0534111669972425,0.9090909090909092,-0.00592649,0.05933765682725959,0.05933765682725959,SH601166,兴业银行,2026-04-09,1.2792886,1.2786237
5,5,SH601169,0.0531200582483644,0.9090909090909092,0.0,0.0531200582483644,0.0531200582483644,SH601169,北京银行,2026-04-09,0.2544376,0.25490963
6,6,SH601668,0.0515636844331951,0.9090909090909092,-0.010169506,0.06173319050619315,0.06173319050619315,SH601668,中国建筑,2026-04-09,0.657024,0.65555745
7,7,SH601816,0.0513827285585708,0.9090909090909092,-0.003745377,0.055128105622322024,0.055128105622322024,SH601816,京沪高铁,2026-04-09,0.12568977,0.12576428
8,8,SH600941,0.0458904334350717,0.8181818181818182,-0.003690064,0.04958049738847136,0.04958049738847136,SH600941,中国移动,2026-04-09,0.04113886,0.041058443
9,9,SH601838,0.0434687754005317,0.8181818181818182,-0.011326849,0.054795624861133506,0.054795624861133506,SH601838,成都银行,2026-04-09,0.3457328,0.34682816
10,10,SH601658,0.0433479451870296,1.0,-0.00146842,0.04481636521571612,0.04481636521571612,SH601658,邮储银行,2026-04-09,0.29471245,0.29502648
11,11,SH600015,0.043304041870521,0.9090909090909092,0.0,0.043304041870521,0.043304041870521,SH600015,华夏银行,2026-04-09,5.446329,5.4538317
12,12,SH600018,0.0430045131679806,0.9090909090909092,-0.0011834502,0.044187963389995984,0.044187963389995984,SH600018,上港集团,2026-04-09,0.99418,0.9977991
13,13,SH600887,0.0419013421343214,0.8181818181818182,-0.0068858266,0.048787168721998404,0.048787168721998404,SH600887,伊利股份,2026-04-09,74.83827,74.72378
14,14,SH601298,0.041457255640693,0.7272727272727273,0.0025907755,0.03886648015088587,0.03886648015088587,SH601298,青岛港,2026-04-09,0.35201988,0.35343665
15,15,SH600600,0.0404316020490972,0.8181818181818182,-0.0018956065,0.04232720856688895,0.04232720856688895,SH600600,青岛啤酒,2026-04-09,2.7017474,2.6980016
16,16,SZ000895,0.0402507770119993,0.9090909090909092,0.020399451,0.01985132575620096,0.01985132575620096,,,2026-04-09,64.72137,66.45853
17,17,SH601607,0.0399697877306614,0.8181818181818182,-0.004670441,0.04464022888132668,0.04464022888132668,SH601607,上海医药,2026-04-09,1.1126896,1.1120224
18,18,SH600036,0.038545405267825,0.9090909090909092,-0.005861759,0.04440716445361602,0.04440716445361602,SH600036,招商银行,2026-04-09,14.501257,14.482885
19,19,SH601939,0.0370830368665006,0.9090909090909092,0.008676767,0.028406269517257436,0.028406269517257436,SH601939,建设银行,2026-04-09,0.7884137,0.79612267
20,20,SZ000651,0.0370316850549391,0.9090909090909092,-0.004820466,0.04185215109650404,0.04185215109650404,,,2026-04-09,464.39886,463.65274
21,21,SH601916,0.0366004157574082,0.8181818181818182,-0.0024331212,0.039033536961784424,0.039033536961784424,SH601916,浙商银行,2026-04-09,0.23025782,0.2314663
22,22,SH601328,0.0345982935180662,0.9090909090909092,0.0070308447,0.027567448829650676,0.027567448829650676,SH601328,交通银行,2026-04-09,0.27464348,0.27648604
23,23,SH601919,0.0323042660579622,0.5454545454545454,-0.0071467757,0.039451041780465865,0.039451041780465865,SH601919,中远海控,2026-04-09,0.32452938,0.32458824
24,24,SH601186,0.0317680082905521,0.7272727272727273,-0.008729398,0.04049740654113193,0.04049740654113193,SH601186,中国铁建,2026-04-09,0.11223652,0.11188249
25,25,SH601009,0.0296930579913548,0.8181818181818182,-0.00090432167,0.030597379661887025,0.030597379661887025,SH601009,南京银行,2026-04-09,1.5311207,1.5325619
26,26,SZ300498,0.0287083390372627,0.8181818181818182,0.01876235,0.009945988954865238,0.009945988954865238,,,2026-04-09,0.025263205,0.026088687
27,27,SZ000333,0.0286263270849488,0.8181818181818182,-0.008237243,0.03686356978361824,0.03686356978361824,,,2026-04-09,1.3623731,1.3634642
28,28,SZ002352,0.0282400429528937,0.8181818181818182,-0.01015842,0.038398462561963526,0.038398462561963526,,,2026-04-09,0.510434,0.50881004
29,29,SH601059,0.0279093948642709,0.9090909090909092,0.0046948195,0.02321457541389248,0.02321457541389248,SH601059,信达证券,2026-04-09,0.12224249,0.12309974
30,30,SH601825,0.0279026964416083,1.0,-0.0032786727,0.031181369136768212,0.031181369136768212,SH601825,沪农商行,2026-04-09,0.14130719,0.1419165
31,31,SH601988,0.0277195004719021,0.7272727272727273,0.006849289,0.02087021153147241,0.02087021153147241,SH601988,中国银行,2026-04-09,2.6265087,2.6438937
32,32,SZ002415,0.0269970113562073,0.7272727272727273,0.0296458,-0.0026487892343078356,0.0026487892343078356,,,2026-04-09,2.679781,2.760076
33,33,SH601229,0.0262630894229462,0.6363636363636364,-0.0011095405,0.027372629885440095,0.027372629885440095,SH601229,上海银行,2026-04-09,0.20694329,0.20734715
